4yPl1mK1oluIrCwI4HInPR,3.74E+00,2.60E+00
2ZyNYdziwt0ZS9mxRiwnXM,2.56E+00,4.21E+00
2dq9mEgzYTlz3GnZrkQM4Z,2.75E+00,2.78E+00
3L2vZkWxlGn9Ix3ahwozGF,3.42E+00,3.34E+00
6lf2srkPhBqC8yzZYeiWhI,2.53E+00,3.90E+00
5ngJLwHD19E993QJSuEN3V,3.42E+00,3.26E+00
4BPY5xtNGUcZDzxDM0DpnU,2.90E+00,3.74E+00
7KwYuA4w8gT8ya5hgwHE52,3.04E+00,3.25E+00
02qhx6dsmIZJa4B1q6N6UD,3.11E+00,3.89E+00
0dOSUx5IxRnSzsB714ZGZE,3.82E+00,3.15E+00
3ZdvXuiZmG2tykdj6f0n3Z,1.75E+00,2.46E+00
4ionaLwnjFB87LzLQNNM9n,2.39E+00,3.64E+00
49YQ21u7sH5YDNTuMWwBA3,3.03E+00,3.59E+00
0YyjeRGMH3cUVoqHO4rDzC,2.45E+00,3.46E+00
4dRL0SVN82FEEBJGOx8nXd,3.15E+00,3.14E+00
5LMtYvBkdln0xFr6YntzAl,2.51E+00,4.06E+00
5CrtKlmttX7t1Yq2CYKS6w,2.62E+00,2.26E+00
2K1lozFQXyljyX9BoPx5CT,2.86E+00,3.56E+00
4EgsivHfjuVhYcx7CHlUQs,2.54E+00,2.88E+00
6pZBZ0Jhp0KqHxJxdZBC8I,2.91E+00,9.54E-01
30jQBsAZrTjdAdnPNbETm9,3.33E+00,3.23E+00
3MVEGeAitdvl2gJMbnbZW4,3.50E+00,2.26E+00
5ymHhYazOiVbcYDYYtg379,2.53E+00,3.81E+00
2tC8h6mkTaBlN0jBfEdqSl,3.52E+00,3.08E+00
3wNdSbwkdsdr6lq3Wbp86d,3.27E+00,3.73E+00
0JVeSuoJzA8O8zbkZmZMPT,3.39E+00,2.93E+00
1RV1yEPDq9Y6k9a9ouuF0X,1.76E+00,3.78E+00
2fa3DKWlxMINFOHM7gItKU,1.63E+00,4.08E+00
0eWoV0OPAph7PWvoAUwo53,3.04E+00,4.01E+00
50PMQx1cteAhWA0w00kYkZ,2.73E+00,3.01E+00
5QnvNrH5YHz5I7d6JImtXN,2.59E+00,3.40E+00
2liy2irEzN80IPudTIw60c,2.92E+00,2.29E+00
4pfdKx0OMg66baxGsDNI7S,2.84E+00,3.89E+00
7fZkgWiMCtu5PCIHrxnp1O,2.06E+00,1.73E+00
1mIdNYieMiL1OdKHG1zjYa,2.64E+00,3.56E+00
4GeA4AuHdUdA50KC1F7Xh3,2.86E+00,2.98E+00
6V58YphTDCmc0aQp4tN0np,3.13E+00,3.07E+00
2KFdVFwVe3fFDQlUVtKeGh,3.27E+00,3.06E+00
2O1mCn7VJjelc8Xr5TAWkG,2.64E+00,3.92E+00
13Sh5MAlGQrKyOMBY3hog8,3.15E+00,2.86E+00
1Aw4wEcRorA2Y7wyBgxEmX,2.85E+00,3.48E+00
73cER0SBGggJuZ9wfnfZmp,2.98E+00,1.95E+00
3kpdcl625qW3JW3bT9LpIy,2.19E+00,4.40E+00
7IbnEAsger0BkX2Kxjh97W,3.05E+00,2.68E+00
1lAjEMPcjDwFHbZdL1Hdtj,2.23E+00,4.12E+00
430BbLMwb1LNYa2jrCmTfq,2.32E+00,3.69E+00
1JiTLfh86yK87NO6Ex2wmp,3.10E+00,3.18E+00
5fBLrRKQxnrz2LKYo9BZUj,3.11E+00,2.35E+00
2hOi3REkqGQUvs3uDGjFTR,2.53E+00,4.10E+00
0DEkifk6wpeLSVNrC1m7Wq,2.00E+00,3.19E+00
1B7LH1eBudymShtn88qoEt,3.51E+00,2.91E+00
0V7kh44COZmCoYYXRmQIMD,3.01E+00,3.84E+00
1C16XTYZtu7HZ68SBgSqqV,3.22E+00,3.32E+00
0tvpXwGDFRHFJ6UN7w2X3P,3.30E+00,3.33E+00
5Ln1d5hVyU6ImzHd8SlqTC,2.75E+00,3.86E+00
7bFifmP45nfGTcYMw2PtNY,2.88E+00,4.03E+00
1WZn5CUxsngSDgajxYcaqp,2.40E+00,3.34E+00
5ZErOlAqB05oyO8usdD5IC,2.84E+00,2.60E+00
1Wh0BXhX119h4QmnS0NQBp,1.07E+00,4.68E+00
0EP1Z1Uazpruk2BjPPLvVP,2.83E+00,3.56E+00
6vpEeXCWLQsMXeU22Ml7AZ,3.41E+00,3.34E+00
2gU6RC15pF1NYzcRslm3La,3.44E+00,2.80E+00
3ZP1MZuDtKVKs0qhDz5HwA,3.40E+00,3.62E+00
0RIJRw0EGXPuD95k7kiYEs,2.92E+00,3.97E+00
1hVhAkWeALdWAyuV3rR7Eg,2.85E+00,3.29E+00
4Xx5iUkRBcMSexC4qWylpz,2.98E+00,2.22E+00
0icPjZ4vvCqN7vWxVUQqKt,2.36E+00,3.78E+00
0IoWFeyvTZ99lTThlcmcHu,3.35E+00,3.34E+00
2j6eWx7FsvrEQu6tnByQ3P,3.37E+00,2.92E+00
1PvgScUjIL64RpdweRVmE7,3.42E+00,3.07E+00
2zce38fvbyI96qoy4M9rtv,3.83E+00,2.72E+00
0SqCZbJuRVyjamTRRd5dJC,2.44E+00,3.60E+00
5cbPK6WnabgkNURIcMscRd,2.65E+00,3.64E+00
7tBKWlEtEUwW7zzMlQkevD,3.28E+00,2.58E+00
5Pizm5g0UvoQPeGKuWyR5G,1.85E+00,4.23E+00
57PNBCIpLHNXJKd3QMwTfD,3.02E+00,3.88E+00
6u7Y0oYC27gcniQ2PYk8JE,2.12E+00,3.64E+00
7IqfMH11WMH5g07HwGgbgM,3.27E+00,2.16E+00
3TBKrVTg9NFJKrFpjwUay4,2.72E+00,2.41E+00
2wRdtWRDbx7xqRn5D9oZ6t,2.24E+00,3.45E+00
2X2avBv7TKY11o08mMCMM8,2.30E+00,3.48E+00
3mGInrwzOLn6GdgIkyhSxC,3.94E+00,2.92E+00
1v8DhqDqnzZtLus9yN3pb1,3.36E+00,2.03E+00
